,rf0,rf1,xg0,xg1,gbm0,gbm1,gs0,gs1
0,0.29994375136404117,0.7000562486359587,0.41501504,0.58498496,0.31837676315999885,0.6816232368400011,0.34444518545073183,0.6555548145492681
1,0.3743263228751294,0.6256736771248705,0.38077015,0.61922985,0.33962359291656186,0.6603764070834381,0.3649066875461542,0.6350933124538458
2,0.5925044703399666,0.4074955296600334,0.60951734,0.39048266,0.7719083966959492,0.22809160330405073,0.6579767343092131,0.34202326569078684
3,0.7282623754358745,0.27173762456412565,0.738247,0.26175302,0.6610416659121275,0.33895833408787246,0.7091836728924187,0.2908163271075813
4,0.369238447943102,0.630761552056898,0.5111524,0.48884758,0.659259122195716,0.340740877804284,0.5132166522680541,0.4867833377978385
5,0.44255258306656065,0.5574474169334394,0.33537143,0.66462857,0.30975029323531367,0.6902497067646863,0.36255810366348085,0.6374418963365192
6,0.5029451289117576,0.49705487108824237,0.47872347,0.52127653,0.36085286183355814,0.6391471381664419,0.44750715238054917,0.5524928476194508
7,0.32691631379640473,0.6730836862035952,0.4064833,0.5935167,0.38537924873774543,0.6146207512622546,0.3729262850379336,0.6270737149620663
8,0.5333014467581298,0.4666985532418702,0.71403074,0.2859693,0.7228291792689209,0.2771708207310791,0.6567204562241048,0.3432795537100027
9,0.327412159212738,0.6725878407872621,0.27000064,0.72999936,0.24923895173089272,0.7507610482691073,0.28221724917374563,0.7177827508262543
10,0.3134735356600346,0.6865264643399657,0.5698042,0.43019578,0.44700028437180994,0.5529997156281901,0.4434260038737334,0.5565739861921593
11,0.3142125205404363,0.6857874794595638,0.3840677,0.6159323,0.4242031150248966,0.5757968849751034,0.37416111659321927,0.6258388834067807
12,0.25856771751104773,0.7414322824889524,0.31182206,0.68817794,0.27058922091813753,0.7294107790818625,0.28032633173316995,0.7196736682668301
13,0.5751661874555972,0.4248338125444028,0.56972206,0.43027797,0.5155888836665394,0.4844111163334606,0.5534923758369973,0.4465076340971103
14,0.11340002265941587,0.8865999773405843,0.32210487,0.6778951,0.2802841989024467,0.7197158010975533,0.2385963642783011,0.7614036357216989
15,0.11812732562029236,0.8818726743797078,0.2648244,0.7351756,0.22029428631306835,0.7797057136869316,0.20108200078157923,0.7989179992184209
16,0.6223067877580046,0.37769321224199526,0.48806638,0.5119336,0.4615787625076372,0.5384212374923628,0.5239839751737422,0.47601602482625777
17,0.2667761852856355,0.7332238147143645,0.2950241,0.7049759,0.2337911489345591,0.7662088510654409,0.2651971437286615,0.7348028562713385
18,0.6740212403249407,0.32597875967505924,0.6606513,0.3393487,0.5929978693684342,0.40700213063156576,0.6425568119576265,0.357443197976481
19,0.5051244288594402,0.4948755711405599,0.38898265,0.61101735,0.35248024592727867,0.6475197540727213,0.41552910946819255,0.5844708905318075
20,0.4668962537448427,0.5331037462551572,0.43328446,0.56671554,0.4244357160601011,0.5755642839398989,0.4415388104344014,0.5584611895655985
21,0.6473147507786198,0.35268524922138,0.47428954,0.52571046,0.5977918936518416,0.40220810634815846,0.5731320603021989,0.42686793969780107
22,0.13688512673161796,0.863114873268382,0.3315078,0.6684922,0.3232997341917522,0.6767002658082478,0.2638975543109842,0.7361024456890157
23,0.6201134028018402,0.3798865971981597,0.66990995,0.33009002,0.7207639827182757,0.2792360172817243,0.670262446530387,0.3297375435355056
24,0.23721427843369405,0.762785721566306,0.28349483,0.71650517,0.2546889469878655,0.7453110530121345,0.25846601851769674,0.7415339814823033
25,0.15731955314740603,0.8426804468525938,0.45580024,0.54419976,0.3540947387559785,0.6459052612440215,0.3224048423916128,0.6775951576083871
